;;;;;PROVISIONAL REGISTRATIONS OR SALES OF NEW VEHICLES - ALL TYPES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;Estimated figures;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MACEDONIA;;;;10.060;10.790;11.200;11.500;6.800;9.500;9.400;5.650;2.800;3.500;3.900;4.300;3.863;;;
MOLDOVA;;;;4.550;5.570;7.610;11.500;4.200;5.200;5.900;5.300;5.400;6.000;3.800;4.500;6.022;;;
RUSSIA;;;;1.806.625;2.244.840;2.898.032;3.222.346;1.597.457;2.107.135;2.901.612;3.141.551;2.998.650;2.592.396;1.440.923;1.404.464;1.602.270;;;
SERBIA;;;;24.516;30.761;39.947;44.255;33.500;31.242;25.321;26.700;26.800;27.800;25.000;27.600;30.924;;;
TURKEY;;;;715.212;617.838;594.762;494.355;557.126;760.913;864.439;817.620;893.124;807.486;1.011.194;1.007.857;980.394;;;
UKRAINE;;;;276.697;391.301;525.680;640.968;181.750;188.408;227.250;259.586;232.894;105.957;52.341;75.209;94.694;;;
;;;;;;;;;;;;;;;;94.694;;;
AMERICA;;;;23.338.854;23.356.675;23.609.065;20.902.901;17.497.045;19.719.981;21.578.039;23.670.893;25.030.005;25.475.531;25.688.159;25.551.912;25.788.942;;;
NAFTA;;;;20.242.979;19.899.024;19.301.479;16.240.451;12.859.351;14.203.961;15.597.614;17.526.688;18.764.508;19.910.156;21.174.615;21.497.241;21.231.606;;;
CANADA;;;;1.630.142;1.666.008;1.690.345;1.673.522;1.482.232;1.583.388;1.620.221;1.716.178;1.780.523;1.890.387;1.939.517;1.983.745;2.077.000;;;
MEXICO;;;;1.168.508;1.184.035;1.150.819;1.073.764;775.751;848.354;936.780;1.024.574;1.100.542;1.176.305;1.389.474;1.647.723;1.570.764;;;
UNITED STATES OF AMERICA;;;;17.444.329;17.048.981;16.460.315;13.493.165;10.601.368;11.772.219;13.040.613;14.785.936;15.883.443;16.843.464;17.845.624;17.865.773;17.583.842;;;
CENTRAL & SOUTH AMERICA;;;;3.095.875;3.457.651;4.307.586;4.662.450;4.637.694;5.516.020;5.980.425;6.144.205;6.265.497;5.565.375;4.513.544;4.054.671;4.557.336;;;
ARGENTINA;;;;402.690;460.478;564.926;611.770;487.142;698.404;883.350;830.058;963.917;613.848;644.021;709.482;900.403;;;
BAHAMAS;;;;3.351;2.801;2.903;2.900;4.400;3.200;3.000;3.500;2.800;2.500;3.500;3.300;2.273;;;
BELIZE;;;;200;300;200;400;400;250;300;400;410;400;800;900;1.165;;;
BOLIVIA;;;;2.800;3.500;3.500;3.700;3.000;11.000;14.000;21.000;22.400;30.900;21.400;27.800;29.179;;;
BRAZIL;;;;1.714.644;1.927.738;2.462.728;2.820.350;3.141.240;3.515.064;3.633.248;3.802.071;3.767.370;3.498.012;2.568.976;2.050.321;2.238.915;;;
CHILE;;;;200.000;200.000;230.000;252.690;180.696;303.360;356.183;362.331;397.643;353.525;297.785;319.606;376.682;;;
COLOMBIA;;;;150.000;205.000;235.000;210.000;195.000;285.000;295.000;285.000;286.800;314.100;272.400;246.500;233.960;;;
COSTA RICA;;;;16.000;20.000;17.000;19.000;16.500;24.000;34.000;36.000;36.200;42.100;52.800;60.000;51.884;;;
CUBA;;;;3.000;2.600;3.500;4.100;1.900;2.400;3.500;4.500;4.530;4.500;4.500;6.900;6.962;;;
DOMINICAN REPUBLIC;;;;28.386;28.298;29.852;23.267;9.181;10.056;20.031;15.373;16.481;17.436;21.489;24.024;19.210;;;
ECUADOR;;;;93.057;89.558;91.778;112.684;92.764;132.172;139.893;121.446;113.812;120.060;81.309;63.555;118.281;;;
EL SALVADOR;;;;13.000;12.000;14.000;16.000;3.000;7.000;8.000;11.000;11.400;11.800;12.400;10.600;10.182;;;
GUADELOUPE;;;;17.327;16.544;18.888;17.647;16.928;16.009;16.364;15.452;14.716;14.773;15.720;16.571;18.738;;;
GUATEMALA;;;;11.800;13.400;16.600;18.300;19.500;22.100;24.000;26.000;27.900;29.800;31.200;29.900;28.250;;;
GUIANA (FRENCH);;;;5.353;5.604;6.182;5.994;5.947;5.717;6.036;5.725;5.542;5.534;5.623;5.885;7.865;;;
HONDURAS;;;;8.500;9.600;12.100;14.000;13.000;9.000;10.000;11.000;12.000;11.600;11.300;10.200;7.771;;;
JAMAICA;;;;4.000;4.000;5.000;5.000;6.000;3.000;3.500;4.500;4.700;5.000;5.900;5.100;4.812;;;
MARTINIQUE;;;;17.664;17.151;17.840;16.768;15.647;15.286;15.325;13.576;13.018;13.351;15.215;16.495;16.963;;;
NICARAGUA;;;;8.000;10.000;10.000;10.000;5.000;6.000;6.000;8.000;9.300;9.400;11.200;12.700;9.108;;;
PANAMA;;;;25.000;30.000;26.000;35.000;33.000;38.000;44.000;48.000;48.300;52.200;56.300;57.700;49.762;;;
PARAGUAY;;;;8.000;8.000;11.000;21.000;12.000;19.000;30.000;30.000;30.600;31.000;28.200;22.700;27.029;;;
PERU;;;;23.346;32.876;51.017;92.539;76.932;120.800;150.037;190.761;201.326;187.081;173.388;169.718;180.020;;;
PUERTO RICO;;;;136.000;120.000;132.000;110.000;110.000;75.000;95.000;97.000;99.500;100.200;92.500;112.200;127.301;;;
TRINIDAD & TOBAGO;;;;14.000;14.000;8.000;14.000;14.000;14.000;14.000;14.500;14.900;16.000;19.600;20.200;15.053;;;
URUGUAY;;;;15.000;15.000;19.000;25.000;38.000;55.000;54.969;56.459;61.054;56.548;51.318;47.114;61.484;;;
VENEZUELA;;;;174.757;209.203;318.572;200.341;136.517;125.202;120.689;130.553;98.878;23.707;14.700;5.200;14.084;;;
;;;;;;;;;;;;;;;;;;;
ASIA/OCEANIA/MIDDLE EAST;;;;20.402.735;21.812.560;23.619.274;24.277.072;28.261.495;35.179.084;35.392.386;38.212.928;40.567.306;42.544.518;43.405.639;46.903.730;48.903.658;;;
AUSTRALIA;;;;988.269;962.666;1.049.982;1.012.165;937.328;1.035.574;1.008.437;1.112.032;1.136.227;1.113.230;1.155.408;1.178.133;1.188.677;;;
AZERBAIJAN;;;;12.670;13.590;15.740;15.800;10.800;13.700;10.850;15.000;22.700;25.200;10.500;5.100;2.705;;;
BAHRAIN;;;;20.000;23.000;25.000;36.000;38.000;35.000;31.000;47.000;53.000;61.100;58.300;46.300;37.482;;;
BANGLADESH;;;;15.000;19.100;22.000;28.000;38.500;40.400;39.900;43.400;42.500;51.900;54.800;44.400;42.021;;;
BRUNEI;;;;16.000;16.000;11.000;16.000;10.500;10.500;17.000;20.000;19.600;24.000;17.000;16.200;16.839;;;
CAMBODIA;;;;1.700;1.700;2.400;2.400;2.600;2.900;3.400;3.400;3.400;4.100;6.100;6.300;6.042;;;
CHINA;;;;5.758.189;7.215.972;8.791.528;9.380.502;13.644.794;18.061.936;18.505.114;19.306.435;21.984.079;23.499.001;24.661.602;28.028.175;29.122.531;;;
HONG-KONG;;;;30.001;29.441;34.633;36.876;26.736;36.688;40.284;41.233;45.720;49.722;53.535;43.800;48.259;;;
INDIA;;;;1.440.455;1.750.892;1.993.721;1.983.071;2.266.269;3.040.390;3.287.737;3.595.508;3.241.302;3.177.005;3.424.836;3.669.277;4.017.539;;;
INDONESIA;;;;533.917;318.904;433.341;603.774;486.088;764.710;894.164;1.116.230;1.229.811;1.195.409;1.031.422;1.048.135;1.060.894;;;
IRAQ;;;;30.700;32.200;35.000;62.000;63.000;165.000;131.500;120.000;117.500;87.700;49.200;24.800;39.291;;;
IRAN;;;;857.500;971.000;1.037.900;1.190.000;1.320.000;1.642.843;1.688.194;1.044.430;804.750;1.287.600;1.222.000;1.448.500;1.718.565;;;
ISRAEL;;;;156.000;156.000;220.000;192.000;174.500;217.000;227.000;206.500;215.500;242.400;260.200;292.700;284.623;;;
JAPAN;;;;5.852.034;5.739.520;5.309.200;5.082.233;4.609.333;4.956.148;4.210.224;5.369.721;5.375.513;5.562.888;5.046.510;4.970.260;5.238.888;;;
JORDAN;;;;20.000;15.100;14.700;18.000;21.000;20.000;22.000;23.000;29.000;23.800;22.800;20.500;20.918;;;
KAZAKHSTAN;;;;42.372;42.820;45.981;44.500;45.000;29.000;43.348;98.231;165.710;163.561;97.469;97.470;97.471;;;
KYRGYZSTAN;;;;5.800;5.800;5.900;4.900;5.450;4.800;5.900;4.800;4.800;4.800;4.800;2.000;2.735;;;
KUWAIT;;;;80.000;84.000;90.000;99.500;108.500;110.000;114.500;140.000;151.500;152.300;143.800;108.000;102.541;;;
