LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - MAYO 2017;;;

Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
22/01/2017 0:00;DE 22:00 A 22:59;1;CHAMARTIN                     ;CALLE DE GUTIERREZ SOLANA - PASEO DE LA HABANA                                                      ;;CAÍDA BICICLETA                         ;BICICLETA  
24/01/2017 0:00;DE 10:00 A 10:59;1;RETIRO                        ;CALLE DE O'DONNELL                                                                                ;44;COLISIÓN DOBLE                          ;BICICLETA  
24/01/2017 0:00;DE 17:00 A 17:59;1;MONCLOA-ARAVACA               ;CARRETERA DE RODAJOS                                                                                ;;CAÍDA BICICLETA                         ;BICICLETA  
25/01/2017 0:00;DE 16:00 A 16:59;1;RETIRO                        ;AVENIDA DEL MEDITERRANEO                                                                          ;16;CAÍDA BICICLETA                         ;BICICLETA  
25/01/2017 0:00;DE 20:00 A 20:59;1;CENTRO                        ;PLAZA DEL EMPERADOR CARLOS V                                                                      ;8;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
26/01/2017 0:00;DE 8:00 A 8:59;1;HORTALEZA                     ;AVENIDA DE MACHUPICHU - CALLE DE JOSE MIGUEL GURIDI                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
26/01/2017 0:00;DE 19:00 A 19:59;1;FUENCARRAL-EL PARDO           ;AVENIDA DEL MONASTERIO DE SILOS - CALLE DEL MONASTERIO DE EL PAULAR                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
27/01/2017 0:00;DE 8:00 A 8:59;1;RETIRO                        ;CALLE DEL DOCTOR ESQUERDO                                                                         ;114;COLISIÓN DOBLE                          ;BICICLETA  
29/01/2017 0:00;DE 12:00 A 12:59;1;RETIRO                        ;PASEO DE VENEZUELA - PASEO DEL FERNAN NUÑEZ                                                         ;;CAÍDA BICICLETA                         ;BICICLETA  
31/01/2017 0:00;DE 19:00 A 19:59;1;FUENCARRAL-EL PARDO           ;CALLE DEL MONASTERIO DE ARLANZA                                                                   ;27;COLISIÓN DOBLE                          ;BICICLETA  
31/01/2017 0:00;DE 21:00 A 21:59;1;CENTRO                        ;CALLE DE CEDACEROS                                                                                ;4;CAÍDA BICICLETA                         ;BICICLETA  
01/02/2017 0:00;DE 14:00 A 14:59;1;CENTRO                        ;PASEO DEL PRADO                                                                                   ;6;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 15:00 A 15:59;1;ARGANZUELA                    ;AVENIDA DEL PLANETARIO - CALLE DE EROS                                                              ;;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 15:00 A 15:59;1;CENTRO                        ;CALLE  MAYOR                                                                                      ;70;CAÍDA BICICLETA                         ;BICICLETA  
02/02/2017 0:00;DE 22:00 A 22:59;1;HORTALEZA                     ;AVENIDA DE LOS ANDES - GLORIETA DE YUCATAN                                                          ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 00:00 A 00:59;1;CHAMBERI                      ;CALLE DE BRAVO MURILLO - CALLE DE JOSE ABASCAL                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 15:00 A 15:59;1;CIUDAD LINEAL                 ;AUTOVIA  M-30 CALZADA 2 - AVENIDA DE AMERICA                                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
03/02/2017 0:00;DE 22:00 A 22:59;1;CENTRO                        ;CALLE DE SAN BERNARDO                                                                             ;5;CAÍDA BICICLETA                         ;BICICLETA  
04/02/2017 0:00;DE 13:00 A 13:59;1;SAN BLAS                      ;AVENIDA DE ARCENTALES                                                                             ;7;CAÍDA BICICLETA                         ;BICICLETA  
04/02/2017 0:00;DE 20:00 A 20:59;1;ARGANZUELA                    ;CALLE DE BUSTAMANTE - PASEO DE LAS DELICIAS                                                         ;;COLISIÓN DOBLE                          ;BICICLETA  
05/02/2017 0:00;DE 11:00 A 11:59;0;SALAMANCA                     ;CALLE DE GOYA                                                                                     ;97;COLISIÓN DOBLE                          ;BICICLETA  
05/02/2017 0:00;DE 12:00 A 12:59;1;MONCLOA-ARAVACA               ;CALLE DEL ALMIRANTE FRANCISCO MORENO                                                              ;13;CAÍDA BICICLETA                         ;BICICLETA  
06/02/2017 0:00;DE 19:00 A 19:59;1;ARGANZUELA                    ;GLORIETA DE EMBAJADORES                                                                           ;5;COLISIÓN DOBLE                          ;BICICLETA  
07/02/2017 0:00;DE 9:00 A 9:59;1;CENTRO                        ;CALLE DE TORIJA - PLAZA DE LA MARINA ESPAÑOLA                                                       ;;CAÍDA BICICLETA                         ;BICICLETA  
07/02/2017 0:00;DE 13:00 A 13:59;1;CHAMBERI                      ;CALLE DE ZURBARAN - PASEO DE LA CASTELLANA                                                          ;;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
07/02/2017 0:00;DE 22:00 A 22:59;1;RETIRO                        ;AVENIDA DE MENENDEZ PELAYO                                                                        ;32;CHOQUE CON OBJETO FIJO                  ;BICICLETA  
08/02/2017 0:00;DE 17:00 A 17:59;1;PUENTE DE VALLECAS            ;CALLE DE LOS BARROS - RONDA  SUR                                                                    ;;COLISIÓN DOBLE                          ;BICICLETA  
09/02/2017 0:00;DE 16:00 A 16:59;1;CENTRO                        ;PLAZA DE SANTA CATALINA DE LOS DONADOS                                                            ;3;CAÍDA BICICLETA                         ;BICICLETA  
09/02/2017 0:00;DE 21:00 A 21:59;0;USERA                         ;AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS                                   ;;COLISIÓN DOBLE                          ;BICICLETA  
10/02/2017 0:00;DE 9:00 A 9:59;1;CENTRO                        ;CALLE DE PRECIADOS                                                                                ;28;CAÍDA BICICLETA                         ;BICICLETA  
10/02/2017 0:00;DE 13:00 A 13:59;1;SALAMANCA                     ;CALLE DE ALCALA                                                                                   ;149;COLISIÓN DOBLE                          ;BICICLETA  
10/02/2017 0:00;DE 14:00 A 14:59;1;FUENCARRAL-EL PARDO           ;CALLE DEL ARROYO DEL MONTE - PLAZA DE LA PRADERA DEL SACERAL                                        ;;COLISIÓN DOBLE                          ;BICICLETA  
12/02/2017 0:00;DE 00:00 A 00:59;1;CENTRO                        ;PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA                                                      ;;COLISIÓN DOBLE                          ;BICICLETA  
