day,month,year,deaths
9,NOV,2017,82
10,NOV,2017,79
11,NOV,2017,99
12,NOV,2017,87
13,NOV,2017,84
14,NOV,2017,87
15,NOV,2017,86
16,NOV,2017,75
17,NOV,2017,98
18,NOV,2017,96
19,NOV,2017,77
21,NOV,2017,81
22,NOV,2017,95
23,NOV,2017,87
24,NOV,2017,115
25,NOV,2017,86
26,NOV,2017,80
27,NOV,2017,102
28,NOV,2017,98
29,NOV,2017,99
30,NOV,2017,101
1,NOV,2018,0
2,NOV,2018,0
3,NOV,2018,0
4,NOV,2018,0
5,NOV,2018,0
6,NOV,2018,0
7,NOV,2018,0
8,NOV,2018,0
9,NOV,2018,0
10,NOV,2018,0
11,NOV,2018,0
12,NOV,2018,0
13,NOV,2018,0
14,NOV,2018,0
15,NOV,2018,0
16,NOV,2018,0
17,NOV,2018,0
18,NOV,2018,0
19,NOV,2018,0
21,NOV,2018,0
22,NOV,2018,0
23,NOV,2018,0
24,NOV,2018,0
25,NOV,2018,0
26,NOV,2018,0
27,NOV,2018,0
28,NOV,2018,0
29,NOV,2018,0
30,NOV,2018,0
1,DEC,2015,82
2,DEC,2015,87
3,DEC,2015,83
4,DEC,2015,78
5,DEC,2015,69
6,DEC,2015,69
7,DEC,2015,77
8,DEC,2015,85
9,DEC,2015,86
10,DEC,2015,78
11,DEC,2015,73
12,DEC,2015,80
13,DEC,2015,75
14,DEC,2015,77
15,DEC,2015,75
16,DEC,2015,95
17,DEC,2015,70
19,DEC,2015,88
20,DEC,2015,87
21,DEC,2015,79
22,DEC,2015,74
23,DEC,2015,90
24,DEC,2015,96
25,DEC,2015,90
26,DEC,2015,69
27,DEC,2015,75
28,DEC,2015,79
29,DEC,2015,80
30,DEC,2015,93
31,DEC,2015,70
1,DEC,2016,77
2,DEC,2016,88
3,DEC,2016,67
4,DEC,2016,78
5,DEC,2016,82
6,DEC,2016,106
7,DEC,2016,80
8,DEC,2016,87
9,DEC,2016,103
10,DEC,2016,102
11,DEC,2016,89
12,DEC,2016,107
13,DEC,2016,87
14,DEC,2016,70
15,DEC,2016,85
16,DEC,2016,78
17,DEC,2016,83
19,DEC,2016,78
20,DEC,2016,84
21,DEC,2016,91
22,DEC,2016,109
23,DEC,2016,96
24,DEC,2016,125
25,DEC,2016,85
26,DEC,2016,107
27,DEC,2016,114
28,DEC,2016,95
29,DEC,2016,88
30,DEC,2016,94
31,DEC,2016,120
1,DEC,2017,91
2,DEC,2017,88
3,DEC,2017,80
4,DEC,2017,100
5,DEC,2017,81
6,DEC,2017,85
7,DEC,2017,91
8,DEC,2017,93
9,DEC,2017,87
10,DEC,2017,93
11,DEC,2017,98
12,DEC,2017,71
13,DEC,2017,101
14,DEC,2017,107
15,DEC,2017,88
16,DEC,2017,94
17,DEC,2017,92
19,DEC,2017,82
20,DEC,2017,76
21,DEC,2017,95
22,DEC,2017,105
23,DEC,2017,106
24,DEC,2017,80
25,DEC,2017,79
26,DEC,2017,103
27,DEC,2017,95
28,DEC,2017,93
29,DEC,2017,83
30,DEC,2017,87
31,DEC,2017,102
1,DEC,2018,0
2,DEC,2018,0
3,DEC,2018,0
4,DEC,2018,0
5,DEC,2018,0
6,DEC,2018,0
7,DEC,2018,0
8,DEC,2018,0
9,DEC,2018,0
10,DEC,2018,0
11,DEC,2018,0
12,DEC,2018,0
13,DEC,2018,0
14,DEC,2018,0
15,DEC,2018,0
16,DEC,2018,0
17,DEC,2018,0
19,DEC,2018,0
20,DEC,2018,0
21,DEC,2018,0
22,DEC,2018,0
23,DEC,2018,0
24,DEC,2018,0
25,DEC,2018,0
26,DEC,2018,0
27,DEC,2018,0
28,DEC,2018,0
29,DEC,2018,0
30,DEC,2018,0
31,DEC,2018,0
