day,month,year,deaths
14,MAR,2015,67
15,MAR,2015,71
16,MAR,2015,89
17,MAR,2015,75
18,MAR,2015,82
19,MAR,2015,92
20,MAR,2015,76
21,MAR,2015,81
22,MAR,2015,62
23,MAR,2015,79
24,MAR,2015,64
25,MAR,2015,75
26,MAR,2015,77
27,MAR,2015,73
28,MAR,2015,76
29,MAR,2015,86
30,MAR,2015,94
31,MAR,2015,62
1,MAR,2016,73
2,MAR,2016,69
3,MAR,2016,67
4,MAR,2016,88
5,MAR,2016,77
6,MAR,2016,69
7,MAR,2016,85
8,MAR,2016,80
9,MAR,2016,69
10,MAR,2016,77
11,MAR,2016,84
12,MAR,2016,72
13,MAR,2016,85
14,MAR,2016,83
15,MAR,2016,77
16,MAR,2016,80
17,MAR,2016,69
18,MAR,2016,77
19,MAR,2016,95
20,MAR,2016,94
21,MAR,2016,90
22,MAR,2016,83
23,MAR,2016,82
24,MAR,2016,81
25,MAR,2016,86
26,MAR,2016,82
27,MAR,2016,78
28,MAR,2016,70
29,MAR,2016,78
30,MAR,2016,77
31,MAR,2016,81
1,MAR,2017,73
2,MAR,2017,89
3,MAR,2017,57
4,MAR,2017,90
5,MAR,2017,92
6,MAR,2017,78
7,MAR,2017,78
8,MAR,2017,81
9,MAR,2017,93
10,MAR,2017,97
11,MAR,2017,95
12,MAR,2017,81
13,MAR,2017,89
14,MAR,2017,69
15,MAR,2017,69
16,MAR,2017,82
17,MAR,2017,91
18,MAR,2017,70
19,MAR,2017,82
20,MAR,2017,82
21,MAR,2017,76
22,MAR,2017,89
23,MAR,2017,73
24,MAR,2017,78
25,MAR,2017,88
26,MAR,2017,80
27,MAR,2017,88
28,MAR,2017,67
29,MAR,2017,73
30,MAR,2017,72
31,MAR,2017,72
1,MAR,2018,110
2,MAR,2018,95
3,MAR,2018,103
4,MAR,2018,85
5,MAR,2018,94
6,MAR,2018,90
7,MAR,2018,80
8,MAR,2018,79
9,MAR,2018,79
10,MAR,2018,84
11,MAR,2018,96
12,MAR,2018,94
13,MAR,2018,99
14,MAR,2018,94
15,MAR,2018,85
16,MAR,2018,92
17,MAR,2018,63
18,MAR,2018,78
19,MAR,2018,81
20,MAR,2018,79
21,MAR,2018,85
22,MAR,2018,80
23,MAR,2018,95
24,MAR,2018,79
25,MAR,2018,81
26,MAR,2018,66
27,MAR,2018,83
28,MAR,2018,80
29,MAR,2018,65
30,MAR,2018,89
31,MAR,2018,80
1,APR,2015,70
2,APR,2015,85
3,APR,2015,80
4,APR,2015,88
5,APR,2015,84
6,APR,2015,82
7,APR,2015,66
8,APR,2015,57
9,APR,2015,73
10,APR,2015,66
11,APR,2015,80
12,APR,2015,93
13,APR,2015,74
14,APR,2015,71
15,APR,2015,86
16,APR,2015,79
17,APR,2015,74
18,APR,2015,71
19,APR,2015,74
20,APR,2015,66
21,APR,2015,73
22,APR,2015,71
23,APR,2015,70
24,APR,2015,67
25,APR,2015,80
26,APR,2015,72
27,APR,2015,69
28,APR,2015,87
29,APR,2015,67
30,APR,2015,84
1,APR,2016,79
2,APR,2016,53
3,APR,2016,77
4,APR,2016,92
5,APR,2016,75
6,APR,2016,68
7,APR,2016,84
8,APR,2016,88
9,APR,2016,65
10,APR,2016,73
11,APR,2016,83
12,APR,2016,65
13,APR,2016,68
14,APR,2016,84
15,APR,2016,74
16,APR,2016,80
17,APR,2016,77
18,APR,2016,82
19,APR,2016,62
20,APR,2016,75
21,APR,2016,73
22,APR,2016,64
23,APR,2016,88
24,APR,2016,73
25,APR,2016,81
26,APR,2016,68
27,APR,2016,76
28,APR,2016,73
29,APR,2016,77
30,APR,2016,64
1,APR,2017,89
2,APR,2017,94
3,APR,2017,81
4,APR,2017,92
5,APR,2017,57
6,APR,2017,72
7,APR,2017,80
8,APR,2017,88
9,APR,2017,86
10,APR,2017,88
11,APR,2017,86
12,APR,2017,82
13,APR,2017,74
14,APR,2017,77
15,APR,2017,74
16,APR,2017,80
17,APR,2017,79
18,APR,2017,73
19,APR,2017,82
20,APR,2017,84
21,APR,2017,70
22,APR,2017,71
23,APR,2017,84
24,APR,2017,73
25,APR,2017,90
26,APR,2017,81
27,APR,2017,65
28,APR,2017,64
29,APR,2017,97
30,APR,2017,79
1,APR,2018,87
2,APR,2018,65
3,APR,2018,67
4,APR,2018,88
5,APR,2018,93
6,APR,2018,84
7,APR,2018,76
8,APR,2018,67
9,APR,2018,78
10,APR,2018,68
11,APR,2018,75
12,APR,2018,77
13,APR,2018,78
14,APR,2018,67
15,APR,2018,75
16,APR,2018,66
17,APR,2018,70
18,APR,2018,80
19,APR,2018,72
20,APR,2018,67
21,APR,2018,70
22,APR,2018,71
23,APR,2018,67
24,APR,2018,53
25,APR,2018,77
26,APR,2018,77
27,APR,2018,69
28,APR,2018,80
29,APR,2018,82
30,APR,2018,72
1,MAY,2015,66
2,MAY,2015,87
3,MAY,2015,77
4,MAY,2015,70
5,MAY,2015,81
6,MAY,2015,89
7,MAY,2015,82
8,MAY,2015,79
9,MAY,2015,85
10,MAY,2015,84
11,MAY,2015,78
12,MAY,2015,64
13,MAY,2015,66
14,MAY,2015,74
15,MAY,2015,81
16,MAY,2015,71
17,MAY,2015,78
18,MAY,2015,70
19,MAY,2015,71
20,MAY,2015,78
21,MAY,2015,88
22,MAY,2015,64
23,MAY,2015,65
24,MAY,2015,87
25,MAY,2015,57
26,MAY,2015,90
27,MAY,2015,65
28,MAY,2015,64
29,MAY,2015,79
30,MAY,2015,66
31,MAY,2015,84
1,MAY,2016,74
2,MAY,2016,59
3,MAY,2016,74
4,MAY,2016,53
5,MAY,2016,84
6,MAY,2016,68
7,MAY,2016,71
8,MAY,2016,79
9,MAY,2016,80
10,MAY,2016,81
11,MAY,2016,68
12,MAY,2016,85
13,MAY,2016,69
14,MAY,2016,62
15,MAY,2016,76
16,MAY,2016,67
17,MAY,2016,67
18,MAY,2016,83
19,MAY,2016,72
20,MAY,2016,89
21,MAY,2016,78
22,MAY,2016,81
23,MAY,2016,87
24,MAY,2016,85
25,MAY,2016,82
26,MAY,2016,67
27,MAY,2016,80
28,MAY,2016,69
29,MAY,2016,77
30,MAY,2016,69
