ID_ESTACION	Fecha	Precio gasolina 95	Precio gasóleo A	Precio gasóleo B	Precio bioetanol	Precio nuevo gasóleo A	Precio biodiesel	% éster metílico	% bioalcohol	Precio gasolina 98	Precio gas natural comprimido	Precio gas natural licuado	Precio gases licuados del petróleo	
123	02/04/2017	1,239	1,129			1,214				1,385				
124	02/04/2017	1,279	1,155			1,215				1,379			0,671	
125	02/04/2017	1,279	1,155			1,215				1,379			0,671	
126	02/04/2017	1,279	1,155			1,215				1,379				
127	02/04/2017	1,259	1,139			1,219				1,378				
128	02/04/2017	1,269	1,149			1,209								
129	02/04/2017	1,269	1,149			1,219				1,399				
130	02/04/2017	1,259	1,149	0,819						1,389				
131	02/04/2017	1,259		0,689		1,129				1,369				
132	02/04/2017	1,209	1,089	0,689										
133	02/04/2017	1,295	1,175			1,255				1,395				
134	02/04/2017	1,259	1,139			1,219				1,389				
135	02/04/2017	1,249	1,154			1,214				1,364				
136	02/04/2017	1,266	1,149			1,209				1,381				
137	02/04/2017	1,259	1,139			1,209				1,369				
138	02/04/2017	1,269	1,099	0,799		1,199				1,379				
139	02/04/2017	1,269	1,149			1,229				1,379				
140	02/04/2017	1,269	1,149			1,229				1,379				
141	02/04/2017		1,059											
142	02/04/2017	1,219	1,099											
143	02/04/2017		1,170											
144	02/04/2017	1,178	1,078											
145	02/04/2017	1,249	1,139			1,209				1,379				
146	02/04/2017	1,269	1,149	0,819		1,229				1,379				
147	02/04/2017	1,279	1,155			1,215				1,379				
148	02/04/2017	1,243	1,135	0,755						1,344				
149	02/04/2017	1,269	1,149											
150	02/04/2017	1,239	1,059											
151	02/04/2017	1,269	1,129	0,824		1,199				1,409				
152	02/04/2017	1,249	1,139	0,769		1,209				1,379				
153	02/04/2017	1,219	1,089											
154	02/04/2017	1,249	1,129											
155	02/04/2017	1,199	1,059			1,109								
156	02/04/2017	1,259	1,139	0,819						1,399				
157	02/04/2017		1,050	0,680										
158	02/04/2017	1,259	1,129	0,819		1,199				1,378				
159	02/04/2017	1,269	1,139	0,819						1,409				
160	02/04/2017		1,049											
161	02/04/2017	1,259	1,149	0,779		1,229								
162	02/04/2017		1,069	0,655										
163	02/04/2017	1,239	1,139	0,849						1,359				
164	02/04/2017	1,249	1,149			1,209				1,364				
165	02/04/2017	1,239	1,119											
166	02/04/2017	1,249	1,149			1,209				1,364				
167	02/04/2017	1,249	1,149			1,229				1,349				
168	02/04/2017	1,269	1,159			1,249				1,375				
169	02/04/2017	1,269	1,159			1,249				1,375				
170	02/04/2017	1,249	1,149							1,349				
171	02/04/2017	1,169	1,039											
172	02/04/2017	1,285	1,165			1,245				1,385				
173	02/04/2017	1,252	1,139			1,199								
174	02/04/2017	1,249	1,129	0,789						1,359				
175	02/04/2017	1,128	1,006											
176	02/04/2017	1,269	1,129			1,209								
177	02/04/2017		1,030	0,660										
178	02/04/2017	1,239	1,139	0,855		1,209				1,399				
179	02/04/2017	1,229	1,119			1,189				1,339				
180	02/04/2017	1,249	1,139	0,799						1,380				
181	02/04/2017	1,265	1,139	0,791		1,189				1,405				
182	02/04/2017	1,269	1,129	0,829		1,199				1,379				
183	02/04/2017	1,289	1,119	0,889		1,196				1,389				
184	02/04/2017	1,233	1,116	0,770		1,184								
185	02/04/2017	1,239	1,109			1,209				1,389				
186	02/04/2017	1,249	1,119	0,859		1,209				1,389				
187	02/04/2017	1,239	1,129			1,199				1,349				
188	02/04/2017	1,219	1,099			1,149				1,379				
189	02/04/2017	1,209	1,079			1,169				1,339				
190	02/04/2017	1,219	1,089			1,179								
191	02/04/2017	1,259	1,149			1,199				1,369				
192	02/04/2017	1,259	1,149	0,820		1,199				1,369				
193	02/04/2017	1,255	1,149			1,209				1,370				
194	02/04/2017	1,249	1,149	0,859		1,209				1,364				
195	02/04/2017	1,249	1,149			1,209								
196	02/04/2017			0,819										
197	02/04/2017	1,289	1,179			1,269				1,399				
198	02/04/2017	1,289	1,179			1,269				1,399				
199	02/04/2017	1,279	1,149	0,829		1,229								
200	02/04/2017	1,279	1,159	0,817		1,209				1,344				
201	02/04/2017	1,249	1,139	0,828		1,199								
202	02/04/2017	1,269	1,139	0,839		1,219				1,399				
203	02/04/2017	1,269	1,139			1,219				1,399				
204	02/04/2017	1,285	1,169	0,819		1,219				1,395				
205	02/04/2017	1,191	1,063			1,133				1,321				
206	02/04/2017	1,159	1,039											
207	02/04/2017	1,126	1,001			1,091				1,256				
208	02/04/2017	1,176	1,051			1,141				1,306				
209	02/04/2017	1,279	1,139			1,219				1,419				
210	02/04/2017	1,259	1,119			1,199				1,399			0,621	
211	02/04/2017	1,259	1,119			1,199				1,399				
212	02/04/2017	1,204	1,086			1,168				1,328				
213	02/04/2017	1,219	1,099			1,189				1,339				
214	02/04/2017	1,254	1,134			1,218				1,396				
215	02/04/2017	1,259	1,129	0,789		1,179								
216	02/04/2017	1,269	1,139											
217	02/04/2017	1,259	1,139			1,199				1,374				
218	02/04/2017	1,259	1,139			1,199				1,374				
219	02/04/2017	1,269	1,139											
220	02/04/2017	1,129	0,995											
221	02/04/2017	1,249	1,145			1,205				1,359				
222	02/04/2017	1,249	1,145			1,205				1,359				
223	02/04/2017	1,187	1,085			1,155				1,317				
224	02/04/2017	1,259	1,155			1,215				1,369			0,591	
225	02/04/2017	1,249	1,145			1,205								
226	02/04/2017	1,254	1,139											
227	02/04/2017	1,279	1,149			1,229				1,409				
228	02/04/2017	1,259	1,139			1,199				1,374				
229	02/04/2017	1,119	0,985			1,049				1,251				
230	02/04/2017	1,259	1,139			1,199				1,374				
231	02/04/2017	1,259	1,139			1,199				1,379				
232	02/04/2017	1,253	1,136			1,221				1,395				
233	02/04/2017	1,254	1,136			1,196				1,369			0,549	
234	02/04/2017	1,259	1,129			1,199				1,359				
235	02/04/2017	1,239	1,119			1,169				1,349				
236	02/04/2017	1,139	1,009											
237	02/04/2017	1,139	1,009											
238	02/04/2017	1,244	1,124			1,208				1,385				
239	02/04/2017	1,139	1,009											
240	02/04/2017	1,219	1,099			1,159				1,349				
241	02/04/2017	1,289	1,149			1,219				1,409				
242	02/04/2017	1,249	1,129			1,209				1,359			0,597	
243	02/04/2017	1,196	1,072			1,142				1,326				
244	02/04/2017	1,204	1,081	0,825		1,151				1,334				
245	02/04/2017	1,225	1,109			1,169				1,339				
246	02/04/2017	1,259	1,144			1,204								
247	02/04/2017	1,249	1,129			1,209				1,359				
248	02/04/2017	1,169	0,997											
249	02/04/2017	1,218	1,098				1,078			1,318				
250	02/04/2017	1,259	1,139			1,199				1,374				
251	02/04/2017	1,129	1,049											
252	02/04/2017	1,249	1,129			1,189				1,369				
253	02/04/2017	1,204	1,081			1,151				1,334			0,537	
254	02/04/2017	1,219	1,079			1,129								
255	02/04/2017	1,229	1,099			1,159				1,359				
256	02/04/2017	1,219	1,089			1,149				1,349				
257	02/04/2017	1,259	1,139			1,199				1,374				
258	02/04/2017	1,200	1,095	0,790						1,290				
259	02/04/2017	1,259	1,144	0,789		1,204				1,374				
260	02/04/2017	1,269	1,129			1,209				1,409				
261	02/04/2017	1,219	1,089			1,169				1,329				
262	02/04/2017	1,279	1,149			1,229				1,389				
263	02/04/2017												0,550	
264	02/04/2017	1,279	1,159			1,209								
265	02/04/2017	1,259	1,144	0,779		1,204				1,374				
266	02/04/2017	1,239	1,109			1,179				1,358				
267	02/04/2017	1,259	1,139	0,819		1,219				1,399				
268	02/04/2017	1,235	1,119			1,170				1,349				
269	02/04/2017	1,219	1,099	0,789		1,159				1,336				
270	02/04/2017	1,259	1,149			1,219				1,379				
271	02/04/2017	1,269	1,149			1,219				1,389				
272	02/04/2017	1,269	1,149			1,219				1,389				
273	02/04/2017	1,279	1,159			1,229				1,399				
274	02/04/2017	1,259	1,149			1,209				1,374				
275	02/04/2017	1,239	1,129			1,229				1,409				
276	02/04/2017	1,245	1,139			1,199				1,394				
277	02/04/2017	1,239	1,139			1,199								
278	02/04/2017	1,189	1,059			1,139								
279	02/04/2017	1,239	1,115			1,175				1,379				
280	02/04/2017	1,189	1,059											
281	02/04/2017	1,259	1,138			1,199								
282	02/04/2017	1,220	1,100							1,280				
283	02/04/2017	1,199	1,088	0,699										
284	02/04/2017	1,168	1,038	0,669						1,250				
285	02/04/2017	1,269	1,149	0,829		1,209				1,329				
286	02/04/2017	1,289	1,159			1,244				1,421				
287	02/04/2017	1,219	1,099			1,189				1,339				
288	02/04/2017	1,219	1,099			1,189				1,339				
289	02/04/2017	1,219	1,099			1,189				1,339				
290	02/04/2017	1,279	1,169			1,219				1,389			0,621	
291	02/04/2017	1,269	1,149			1,234				1,411				
292	02/04/2017	1,279	1,159			1,244				1,421				
293	02/04/2017	1,259	1,125	0,839										
294	02/04/2017	1,219	1,089			1,189				1,389				
295	02/04/2017	1,279	1,129			1,214				1,421				
296	02/04/2017	1,279	1,129											
297	02/04/2017	1,219	1,089											
298	02/04/2017	1,179	1,049											
299	02/04/2017	1,197	1,067											
300	02/04/2017	1,219	1,079							1,349				
301	02/04/2017	1,269	1,139	0,799		1,199				1,399				
302	02/04/2017	1,259	1,139			1,209				1,369				
303	02/04/2017	1,229	1,109											
304	02/04/2017	1,259	1,129			1,209				1,399				
305	02/04/2017	1,269	1,139			1,219				1,399				
306	02/04/2017	1,249	1,129			1,209				1,399				
307	02/04/2017	1,288	1,163	0,814		1,223				1,412				
308	02/04/2017	1,199	1,059											
309	02/04/2017	1,254	1,118							1,390				
310	02/04/2017	1,274	1,129			1,216				1,400				
311	02/04/2017	1,249	1,118			1,204				1,390				
312	02/04/2017	1,219	1,079			1,149				1,379				
313	02/04/2017	1,219	1,079			1,129				1,379				
314	02/04/2017	1,259	1,129			1,189				1,379				
315	02/04/2017	1,249	1,129			1,189				1,349				
316	02/04/2017	1,219	1,109			1,169				1,319				
317	02/04/2017	1,269	1,129			1,199				1,369				
318	02/04/2017	1,269	1,129			1,199				1,369			0,621	
319	02/04/2017	1,259	1,129			1,189				1,369				
320	02/04/2017	1,275	1,139			1,209				1,415				
321	02/04/2017	1,269	1,139	0,799		1,199				1,399				
322	02/04/2017	1,269	1,159	0,849		1,209				1,369				
323	02/04/2017	1,239	1,129	0,779		1,169				1,359				
324	02/04/2017	1,219	1,099			1,159				1,359				
325	02/04/2017	1,116	0,991			1,081								
326	02/04/2017	1,176	1,051			1,141				1,306				
327	02/04/2017	1,189	1,069			1,119				1,339				
328	02/04/2017	1,279	1,139			1,219				1,419				
329	02/04/2017	1,269	1,139			1,219				1,409				
330	02/04/2017		1,099											
331	02/04/2017	1,259	1,149	0,819		1,229				1,399				
332	02/04/2017	1,275	1,159			1,209				1,385			0,621	
333	02/04/2017	1,259	1,129			1,209				1,379				
334	02/04/2017	1,259	1,129			1,209				1,379			0,621	
335	02/04/2017	1,249	1,125			1,205				1,359				
336	02/04/2017	1,259	1,149			1,209				1,389				
337	02/04/2017	1,249	1,129			1,189				1,359				
338	02/04/2017	1,249	1,129	0,815		1,189				1,359				
339	02/04/2017	1,249	1,129			1,189								
340	02/04/2017	1,279	1,139			1,199				1,379				
341	02/04/2017	1,239	1,099			1,119				1,369				
342	02/04/2017	1,269	1,139	0,834		1,219				1,369				
343	02/04/2017	1,239	1,099			1,149				1,339				
344	02/04/2017	1,285	1,159			1,209				1,385				
345	02/04/2017	1,219	1,084											
