ID_ESTACION	Provincia	Municipio	Localidad	Código postal	Dirección	Margen	Longitud	Latitud	Rótulo	Tipo venta	Rem.	Horario
1	ÁLAVA	ALEGRÍA-DULANTZI	ALEGRIA-DULANTZI	01240	CL MANISITU, 9	D	-2,509361	42,846028	REPSOL	P	dm	L-D: 24H
2	ÁLAVA	AMURRIO	LARRINBE	01468	POLIGONO ZANKUETA, 0	D	-2,989111	43,044333	ESTACIONES GB	P	dm	L-D: 24H
3	ÁLAVA	AMURRIO	LEZAMA	01450	CARRETERA A-624 KM. 37,8	D	-2,967611	33,031889	CEPSA	P	OM	L-D: 06:00-22:00
4	ÁLAVA	ARRAZUA-UBARRUNDIA	LUKO	01510	N-240-B km 11,8	D	-2,639528	42,941417	CEPSA	P	OM	L-D: 06:00-22:00
5	ÁLAVA	ARRAZUA-UBARRUNDIA	ZURBANO	01520	AUTOVIA N-1 km 358	N	-2,616361	42,876861	AVIA	P	dm	L-D: 24H
6	ÁLAVA	ARTZINIEGA	ARTZINIEGA	01474	AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)	D	-3,122528	43,123361	AVIA 	P	dm	L-D: 24H
7	ÁLAVA	ASPARRENA	ILARDUIA	01260	N-IA km 385,1	I	-2,278694	42,866417	CEPSA	P	OM	L-D: 24H
8	ÁLAVA	CAMPEZO/KANPEZU	SANTA CRUZ CAMPEZO	01110	CR A-132  VITORIA-ESTELLA, 38,1	I	-2,357278	42,670222	PETRONOR	P	dm	L-D: 07:00-22:00
9	ÁLAVA	ELBURGO/BURGELU	ELBURGO/BURGELU	01192	CARRETERA N-1 KM. 364,4	D	-2,518167	42,878556	REPSOL	P	OM	L-D: 06:00-22:00
10	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2	D	-2,770694	42,824389	GAS NATURAL FENOSA	P	dm	L-D: 24H
11	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE TRATADO DE MAASTRICH, 1	D	-2,774750	42,825250	PETRONIEVES	P	dm	L-D: 24H
12	ÁLAVA	IRUÑA OKA/IRUÑA DE OCA	NANCLARES DE LA OCA	01230	CALLE TRATADO DE PARIS, 6	D	-2,772250	42,823778	EUROCAM	P	dm	L-D: 24H
13	ÁLAVA	LABASTIDA	SALINILLAS DE BURADON	01212	CARRETERA N-124 KM. 35	I	-2,849833	42,635194	REPSOL	P	OM	"L-V: 07:00-21:45; S-D: 08:00-21:45"
14	ÁLAVA	LAGUARDIA	LAGUARDIA	01300	CARRETERA A-124 KM. 65	I	-2,578806	42,547639	REPSOL	P	OM	"L-V: 07:00-21:45; S-D: 08:00-21:45"
15	ÁLAVA	LANTARÓN	PUENTELARRÁ/LARRAZUBI	01423	CARRETERA A-2122 KM. 11	I	-3,045750	42,755583	AVIA	P	dm	L-D: 07:00-21:00
16	ÁLAVA	LLODIO	LAUDIO/LLODIO	01400	AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N	I	-2,968000	43,138000	EROSKI	P	dm	L-S: 07:30-21:30
17	ÁLAVA	LLODIO	LAUDIO/LLODIO	01400	CL ARETA, 2	D	-2,951361	43,148639	PETRONOR	P	OM	L-D: 06:00-22:00
18	ÁLAVA	OYÓN/OION	OYON-OION	01320	CARRETERA LOGROÑO KM. 10	D	-2,432278	42,490611	E.S. OION	P	dm	L-D: 07:00-23:00
19	ÁLAVA	RIBERA ALTA	POBES	01420	ACCESO A2622, 0	N	-2,901944	42,811250	E.S. TOCALU S.L.	P	dm	L-D: 07:00-22:00
20	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	IGAY	01213	AU AP-68, 63,5	I	-2,913222	42,741361	PETRONOR	P	OM	L-D: 24H
21	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	IGAY	01213	AU AP-68, 63  D	D	-2,913306	42,743111	PETRONOR	P	OM	L-D: 24H
22	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	AVENIDA ALAVA, 12	D	-2,920667	42,692917	EESS ROMPETROL	P	dm	L-D: 24H
23	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	POLIGONO SUI 1, (C.C. EROSKI), 1	N	-2,917639	42,704639	EROSKI	P	dm	L-S: 10:00-22:00
24	ÁLAVA	RIBERA BAJA/ERRIBERA BEITIA	RIBABELLOSA	01213	CARRETERA N-I KM. 323	N	-2,906944	42,710639	SHELL	P	OM	L-D: 24H
25	ÁLAVA	SALVATIERRA/AGURAIN	SALVATIERRA O AGURAIN	01200	CARRETERA ANTIGUA NACIONAL I KM. 375	N	-2,394583	42,848944	GALP	P	OM	L-D: 06:00-22:00
26	ÁLAVA	SAN MILLÁN/DONEMILIAGA	DURRUMA/SAN ROMAN DE SAN	01207	CALLE POLIGONO OKITURRI, 4	D	-2,324083	42,863583	IS-XXI	P	dm	L-D: 24H
27	ÁLAVA	SAN MILLÁN/DONEMILIAGA	DURRUMA/SAN ROMAN DE SAN	01207	POLIGONO OKITURRI, S/N	D	-2,320361	42,863500	"ANDAMUR ""SAN ROMAN"""	P	dm	L-D: 24H
28	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01002	CL PORTAL DE ELORRIAGA,17	D	-2,648306	42,849778	REPSOL	P	OM	L-D: 06:00-22:00
29	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01007	CALLE ALTO DE ARMENTIA, 2	N	-2,698917	42,836778	GALP	P	OM	L-D: 06:00-22:00
30	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01007	CALLE ALTO DE ARMENTIA, 10	D	-2,700972	42,837111	ARMENTIA	P	dm	L-D: 24H
31	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01008	CL CASTILLA, 30	D	-2,682278	42,842833	REPSOL	P	dm	"L-S: 06:00-23:00; D: 07:30-23:00"
32	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE DUSSELDORF, 1	D	-2,709972	42,852417	CEPSA	P	OM	L-D: 24H
33	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE BREMEN, 6	D	-2,708611	42,854694	EROSKI	P	dm	L-D: 24H
34	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	CALLE URARTEA, 23	D	-2,712722	42,863778	AVIA	P	dm	L-D: 06:30-22:30
35	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	AVENIDA MEDITERRANEO, 7	N	-2,693722	42,849028	CEPSA	P	dm	L-D: 06:00-22:00
36	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	AVENIDA AVDA. DE LOS HUETOS, 56	N	-2,716389	42,857194	ONAINDIA	P	dm	L-D: 06:00-22:00
37	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01010	ALIBARRA, 34	N	-2,710500	42,864944	AVIA	P	dm	L-V: 07:00-21:30
38	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01006	CL TRIANAS, 17	D	-2,664500	42,838722	REPSOL	P	OM	L-D: 06:00-22:00
39	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01006	CALLE VENTA DE LA ESTRELLA, 3	D	-2,658222	42,836833	CEPSA	P	OM	"L-V: 07:00-22:00; S: 07:00-21:00; D: 08:00-21:00"
40	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	AV AVENIDA DEL CANTABRICO,8 -(PG PO	D	-2,660222	42,864667	REPSOL	P	OM	L-D: 06:00-22:00
41	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE ZARAMAGA, 1	N	-2,664278	42,860306	EROSKI	P	dm	L-D: 24H
42	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CL PORTAL BETO¿O, 1	D	-2,661694	42,859278	PETRONOR	P	OM	L-D: 06:00-22:00
43	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE PORTAL DE BERGARA, 2	N	-2,653139	42,864694	SHELL	P	OM	L-D: 05:00-23:00
44	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	PORTAL DE GAMARRA, 7 (BILBAO)	I	-2,661139	42,865278	SHELL	P	OM	"L-V: 06:00-22:00; S: 06:00-14:00"
45	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE REYES CATOLICOS, 2	N	-2,672944	42,855000	ESASA	P	dm	L: 07:00-23:00
46	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE PORTAL DE ARRIAGA, 66	N	-2,678833	42,868611	ONAINDIA	P	dm	L-D: 06:00-23:00
47	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01013	CALLE DEBA, 1	N	-2,656861	42,856194	BP  VITORIA	P	dm	L-D: 24H
48	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01195	CL AVENIDA HUETOS, 81	I	-2,721583	42,857472	PETRONOR	P	OM	L-D: 06:00-23:00
49	ÁLAVA	VITORIA-GASTEIZ	ARCAUTE	01192	CARRETERA N-1 KM. 354	D	-2,632167	42,852722	REPSOL	P	OM	L-D: 06:00-22:00
50	ÁLAVA	VITORIA-GASTEIZ	ABERASTURI	01193	CALLE VITORIALANDA, 12	D	-2,703306	42,860083	EDP	P	dm	L-D: 24H
51	ÁLAVA	VITORIA-GASTEIZ	SUBIJANA DE ALAVA	01195	CARRETERA NACIONAL 1 KM. 341,8	D	-2,778694	42,818944	CEPSA 	P	dm	"L-V: 06:00-23:00; S: 06:00-22:00; D: 06:00-23:00"
52	ÁLAVA	VITORIA-GASTEIZ	VITORIA-GASTEIZ	01015	POLIGONO P.I. JUNDIZ - C/ LERMANDABIDE, 8	N	-2,741917	42,845639	CEPSA	P	OM	L-S: 06:00-22:30
53	ÁLAVA	VITORIA-GASTEIZ	ZUAZO DE VITORIA/ZUHATZU	01195	VIAL CTRA. N102 KM347, N102	I	-2,722278	42,829528	IBAIA ENERGY	P	dm	L-D: 24H
54	ÁLAVA	VITORIA-GASTEIZ	ARANGUIZ	01196	AUTOVIA VITORIA-ATUBE KM. 6	D	-2,702278	42,895667	AVIA	P	dm	L-D: 06:00-22:00
55	ÁLAVA	VITORIA-GASTEIZ	LOPIDANA	01196	CR N-1, 350,5	I	-2,714472	42,878694	REPSOL	P	OM	L-D: 24H
56	ÁLAVA	VITORIA-GASTEIZ	LOPIDANA	01196	CR N-1, 350,5	D	-2,712472	42,877139	REPSOL	P	OM	L-D: 24H
57	ÁLAVA	ZUIA	ALTUBE	01139	AU AP-68, 36	D	-2,873583	42,966472	REPSOL	P	OM	L-D: 06:00-23:00
58	ÁLAVA	ZUIA	ALTUBE	01139	AU AP-68, 36	I	-2,870083	42,966111	PETRONOR	P	OM	L-D: 06:00-23:00
59	ÁLAVA	ZUIA	MURGIA	01130	N-622 km 20,3	D	-2,827722	42,961583	CEPSA	P	OM	"L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00"
60	ALBACETE	ABENGIBRE	ABENGIBRE	02250	AVENIDA CASTILLA LA MANCHA, 26	D	-1,539167	39,211417	Nº 10.935	P	dm	L-D: 07:00-22:00
61	ALBACETE	ALATOZ	ALATOZ	02152	CR CM-332, 46,4	I	-1,346083	39,100389	REPSOL	P	dm	L-D: 7:00-23:00
62	ALBACETE	ALBACETE	ALBACETE	02001	CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5	I	-1,832000	39,054694	SHELL	P	dm	L-D: 06:00-21:30
63	ALBACETE	ALBACETE	ALBACETE	02001	AVENIDA 1º DE MAYO, S/N	N	-1,868500	38,985667	CARREFOUR	P	dm	L-S: 07:00-22:00
64	ALBACETE	ALBACETE	ALBACETE	02005	AVENIDA MENÉNDEZ PIDAL, 58	N	-1,864917	39,003333	TAMOS	P	dm	L-D: 24H
65	ALBACETE	ALBACETE	ALBACETE	02005	CL PASEO DE LA CUBA, 15	D	-1,854556	38,999722	REPSOL	P	OM	L-D: 06:00-23:00
66	ALBACETE	ALBACETE	ALBACETE	02002	CALLE HERMANOS FALCÓ, 2	D	-1,849028	38,989250	CEPSA	P	dm	L-D: 24H
67	ALBACETE	ALBACETE	ALBACETE	02006	CARRETERA M 3203 KM. 2,6	D	-1,875944	38,963972	LA PULGOSA	P	dm	L-D: 07:00-22:00
68	ALBACETE	ALBACETE	ALBACETE	02006	CR N-322, 337,8	I	-2,031861	38,925833	REPSOL	P	dm	L-D: 06:30-22:30
69	ALBACETE	ALBACETE	ALBACETE	02006	CALLE CTRA. DE JAEN, 79	I	-1,883694	38,988111	REPSOL	P	dm	L: 06:00-00:00
70	ALBACETE	ALBACETE	ALBACETE	02006	AVDA. DE LOS TOREROS, S/N	N	-1,869889	38,998222	INPEALSA	P	dm	L-D: 07:00-23:00
71	ALBACETE	ALBACETE	ALBACETE	02006	CR N-301, 244	I	-1,892972	39,027778	REPSOL	P	OM	L-D: 24H
72	ALBACETE	ALBACETE	ALBACETE	02006	CARRETERA N-322 KM. 359	D	-1,845083	39,033139	REPSOL	P	dm	"L-S: 07:00-21:30; D: 09:00-15:00"
73	ALBACETE	ALBACETE	ALBACETE	02006	CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N	N	-1,847361	38,988972	EROSKI	P	dm	"L-S: 07:00-23:00; D: 08:00-23:00"
74	ALBACETE	ALBACETE	ALBACETE	02006	AVENIDA 1º DE MAYO, S/N	N	-1,866806	38,985194	PETROCAMP	P	dm	L-D: 07:00-23:00
75	ALBACETE	ALBACETE	ALBACETE	02006	CALLE ALMANSA, 2	I	-1,847083	38,984139	CEPSA	P	OM	L-D: 24H
76	ALBACETE	ALBACETE	ALBACETE	02006	CARRETERA JAEN KM. 2	D	-1,871722	38,994667	REPSOL	P	dm	L-D: 24H
77	ALBACETE	ALBACETE	ALBACETE	02006	PG CAMPOLLANO-P. 2-CT, S.N.	D	-1,874972	39,012583	REPSOL	P	OM	L-D: 06:00-23:00
78	ALBACETE	ALBACETE	ALBACETE	02006	AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N	N	-1,853306	38,982167	INPEALSA	P	dm	L-D: 07:00-23:00
79	ALBACETE	ALBACETE	ALBACETE	02099	CARRETERA NACIONAL 301 KM. 256	D	-1,831639	38,929389	INPEALSA	P	dm	L-D: 06:00-22:00
80	ALBACETE	ALBACETE	ALBACETE	02004	CARRETERA N-322 KM. 349	D	-1,919778	38,970167	CEPSA	P	dm	L-D: 24H
81	ALBACETE	ALBACETE	SANTA ANA	02328	AVENIDA PRINCIPE, 2	D	-1,994028	38,900944	REPSOL	P	OM	"L-S: 07:00-22:00; D: 08:00-21:00"
82	ALBACETE	ALBACETE	SALOBRAL (EL)	02140	CM. 3203 km 14,1	D	-1,920500	38,867556	LOZANO	P	dm	L-D: 07:00-22:30
83	ALBACETE	ALBACETE	AGUAS NUEVAS	02049	AVDA. ALBACETE, S/N (AB-2 km 5)	D	-1,915694	38,923889	CEPSA	P	dm	"L-V: 07:00-22:30; S-D: 08:00-22:30"
84	ALBACETE	ALBACETE	ALBACETE	02007	AUTOVIA A-31 KM. 69	I	-1,891361	39,031528	REPSOL	P	OM	L-D: 24H
85	ALBACETE	ALBACETE	ALBACETE	02007	POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69	D	-1,874333	39,018000	ENERCOM CARBURANTES	P	dm	L-D: 24H
86	ALBACETE	ALBACETE	ALBACETE	02007	CARRETERA C-M 332 KM. 2,6	D	-1,831611	38,998111	"INLOCOR S.L. ""CEPSA"""	P	dm	L-D: 06:00-01:00
87	ALBACETE	ALBACETE	ALBACETE	02007	AVENIDA PRIMERA, 94	N	-1,893944	39,016361	INPEALSA	P	dm	L-D: 24H
88	ALBACETE	ALBACETE	ALBACETE	02007	SECTOR PARCELA T-3 LOCAL52, 14	N	-1,878111	39,009639	ALCAMPO	P	dm	"L-J: 06:00-23:00; V: 08:00-23:00; S: 06:00-23:00; D: 08:00-23:00"
89	ALBACETE	ALBACETE	ALBACETE	02007	POLIGONO CAMPOLLANO, 55	N	-1,871361	39,015444	CEPSA	P	dm	"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00"
90	ALBACETE	ALBACETE	ALBACETE	02007	MADRID-CARTAGENA km 248,5	D	-1,845278	38,971722	LOS ANGELES DE LA MANCHA, S.L.	P	OM	L-D: 06:00-22:00
91	ALBACETE	ALBACETE	ALBACETE	02007	MADRID-CARTAGENA km 248,5	I	-1,845306	38,971778	LOS ANGELES DE LA MANCHA	P	OM	L-S: 06:00-22:00
92	ALBACETE	ALBACETE	ALBACETE	02007	POLIGONO CAMPOLLANO C/.F, 13	D	-1,889417	39,012472	E.S.	P	dm	L-D: 24H
93	ALBACETE	ALBACETE	ALBACETE	02007	AVENIDA 3ª ESQUINA C/ F Nº3, 3	N	-1,885694	39,009417	FAST & GAS	P	dm	"L-V: 07:00-21:00; S: 09:00-13:30"
94	ALBACETE	ALBACETE	ALBACETE	02007	AVENIDA PRIMERA, S/N	D	-1,882056	39,022139	GMOIL	P	dm	"L-V: 08:00-20:30; S: 09:00-14:00"
95	ALBACETE	ALBACETE	ALBACETE	02007	AVENIDA 0, 48	N	-1,886278	39,021778	AB OIL	P	dm	L-D: 06:00-22:00
96	ALBACETE	ALBACETE	ALBACETE	02080	AUTOVIA A-30 KM. 239,4	D	-1,933250	39,059806	CEPSA	P	OM	L-D: 24H
97	ALBACETE	ALBACETE	ALBACETE	02080	AUTOVIA A-30 KM. 239,4	I	-1,933056	39,060528	CEPSA	P	OM	L-D: 24H
98	ALBACETE	ALCADOZO	ALCADOZO	02124	CM-3203 km 41,9	I	-1,978917	38,646833	CEPSA	P	OM	L-D: 07:00-21:30
99	ALBACETE	ALCALÁ DEL JÚCAR	ALCALA DEL JUCAR	02210	CARRETERA CM-3201 47,1 KM. 47,1	D	-1,433222	39,203167	EL JUCAR	P	dm	L: 07:00-22:00
100	ALBACETE	ALCARAZ	ALCARAZ	02300	CR N-322 276,5	D	-2,492222	38,673111	CAMPSA	P	OM	L-D: 07:00-22:00
101	ALBACETE	ALCARAZ	JARDIN (EL)	02330	CR N-322, 302,8	I	-2,327639	38,808528	REPSOL	P	OM	L-D: 07:30-22:00
102	ALBACETE	ALMANSA	ALMANSA	02640	AVENIDA CIRCUNVALACION, 26	N	-1,084750	38,859944	CEPSA	P	OM	L-D: 06:00-22:00
103	ALBACETE	ALMANSA	ALMANSA	02640	AVENIDA MADRID, 11	N	-1,108000	38,871556	CEPSA	P	OM	"L-V: 07:00-21:00; S: 07:00-14:00"
104	ALBACETE	ALMANSA	ALMANSA	02640	AUTOVIA A-31 KM. 143,350	I	-1,143722	38,878278	CEPSA	P	OM	L-D: 06:00-22:00
105	ALBACETE	ALMANSA	ALMANSA	02640	AVENIDA CIRCUNVALACION, 9	N	-1,098889	38,879167	CEPSA	P	OM	L-D: 24H
106	ALBACETE	ALMANSA	ALMANSA	02640	CL AVDA. DE AYORA, S.N. A	D	-1,100528	38,874583	REPSOL	P	OM	L-D: 06:00-23:00
107	ALBACETE	ALMANSA	ALMANSA	02640	AUTOVIA A-31 KM. 140	D	-1,175750	38,875028	SHELL	P	OM	L-D: 06:00-22:00
108	ALBACETE	ALMANSA	ALMANSA	02640	AVENIDA CIRCUNVALACION, 17	N	-1,089278	38,874083	GASÓLEOS S. ALMANSA	P	dm	L: 05:00-23:00
109	ALBACETE	BALAZOTE	BALAZOTE	02320	N-322 km 326,2	D	-2,150639	38,878028	E.S. BALAZOTE S.L.	P	dm	L-D: 07:00-23:00
110	ALBACETE	BARRAX	BARRAX	02639	CAMINO DE LOS GONZALOS SN	D	-2,192996	39,051236	COABA	P	dm	L-D: 24H
111	ALBACETE	BARRAX	BARRAX	02639	CALLE ALBACETE, 57	I	-2,195139	39,043139	E.S. BARRAX S.L.	P	dm	L-D: 06:00-23:00
112	ALBACETE	BIENSERVIDA	BIENSERVIDA	02360	CARRETERA BIENSERVIDA KM. 10	N	-2,617667	38,516417	MEROIL	P	dm	L-D: 07:00-22:00
113	ALBACETE	BONETE	BONETE	02691	AUTOVIA A-31 KM. 126	D	-1,331500	38,875861	REPSOL	P	OM	L-D: 06:00-22:00
114	ALBACETE	BONETE	BONETE	02691	CR N-430, 566,3	I	-1,331611	38,876111	REPSOL	P	OM	L-D: 06:00-23:00
115	ALBACETE	BONILLO (EL)	BONILLO (EL)	02610	CALLE CARRETERA MUNERA, 2	D	-2,535056	38,953361	CAMPSA	P	OM	L-D: 07:00-23:00
116	ALBACETE	CASAS DE JUAN NÚÑEZ	CASAS DE JUAN NUÑEZ	02151	AVDA. ALBACETE, 33	D	-1,560857	39,100792	GASOLINERAS DEL REY	P	dm	L-D: 07:00-23:00
117	ALBACETE	CASAS-IBÁÑEZ	CASAS-IBAÑEZ	02200	CARRETERA ALBACETE KM. 94	I	-1,477806	39,283944	CARMONED	P	dm	L-D: 07:00-21:00
118	ALBACETE	CAUDETE	CAUDETE	02660	CARRETERA N-344 KM. 114,500	I	-0,974778	38,710861	TRANSPORTES CAUDETE	P	dm	"L-V: 06:00-22:00; S: 06:00-14:00"
119	ALBACETE	CAUDETE	CAUDETE	02660	CARRETERA VILLENA-CAUDETE KM. 10	I	-0,946306	38,682750	ES CAUDETE	P	dm	"L-V: 06:00-21:00; S-D: 07:00-21:00"
120	ALBACETE	CAUDETE	CAUDETE	02660	CR N-330, 71,4	I	-0,955833	38,756417	REPSOL	P	OM	L-D: 06:00-23:00
121	ALBACETE	CAUDETE	CAUDETE	02660	CR N-344 DIRC.VALENCIA, KM.  118.3	N	-0,943000	38,727472	PARGA I	P	dm	L-D: 06:00-22:00
122	ALBACETE	CAUDETE	CAUDETE	02660	AVENIDA VALENCIA DE, 16	N	-0,982111	38,708944	GALP	P	dm	L-D: 06:00-22:00
123	ALBACETE	CAUDETE	CAUDETE	02660	CARRETERA N-330 KM. 68	D	-0,939444	38,728889	BP OIL	P	dm	L-D: 24H
124	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	CHINCHILLA DE MONTE-ARAGO	02520	AUTOVIA A-31 KM. 86	D	-1,758000	38,937583	REPSOL	P	OM	L: 06:00-23:00
125	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	CHINCHILLA DE MONTE-ARAGO	02520	AUTOVIA A-31 KM. 86	I	-1,757611	38,938611	REPSOL	P	OM	L-D: 06:00-23:00
126	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	CHINCHILLA DE MONTE-ARAGO	02520	Ctra. AB-430 KM 530,3	I	-1,726278	38,915972	PETRONOR	P	OM	L: 06:00-22:00
127	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	POZO BUENO	02510	CL AVENIDA GENERALISIMO 107 (N-301 km 276)	I	-1,731861	38,803389	REPSOL	P	OM	L-D: 06:00-22:00
128	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	VILLAR DE CHINCHILLA	02695	CARRETERA NACIONAL 430 AUTOVIA KM. 548,5	D	-1,583694	38,921583	CEPSA	P	OM	"L-V: 05:00-23:00; S: 06:00-15:00"
129	ALBACETE	CHINCHILLA DE MONTE-ARAGÓN	VILLAR DE CHINCHILLA	02695	AUTOVIA A31 KM. 111	N	-1,502806	38,898306	CEPSA	P	dm	"L-V: 06:00-23:00; S-D: 07:00-23:00"
130	ALBACETE	ELCHE DE LA SIERRA	ELCHE DE LA SIERRA	02430	CL BOLEA, 36 (CM-412 km 235,65)	D	-2,044778	38,451306	CAMPSA	P	OM	L: 06:00-22:00
131	ALBACETE	FUENTE-ÁLAMO	FUENTE-ALAMO	02651	AVDA. DOCTOR PEREZ GIL, 25	N	-1,433306	38,689833	Nº 7374	P	dm	"L-S: 07:00-21:00; D: 08:00-20:00"
132	ALBACETE	FUENTEALBILLA	FUENTEALBILLA	02260	N-322 (CORDOBA-VALENCIA) km 399	I	-1,548639	39,269972	ES SAN ANTONIOABAD. FUENTEALBILLA	P	dm	L-D: 05:30-22:00
133	ALBACETE	GINETA (LA)	GINETA (LA)	02110	CR A-31, 235	I	-1,963944	39,086278	REPSOL	P	OM	L-D: 24H
134	ALBACETE	GINETA (LA)	GINETA (LA)	02110	CR N-301, 231,8	D	-1,990194	39,107667	CAMPSA	P	OM	L-D: 07:00-21:00
135	ALBACETE	GOLOSALVO	GOLOSALVO	02253	CARRETERA NACIONAL 322 KM. 390	D	-1,635111	39,238111	CEPSA	P	OM	L: 06:00-22:00
136	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA A-30 KM. 328,2	I	-1,571667	38,417306	CEPSA	P	OM	L-D: 06:00-22:00
137	ALBACETE	HELLÍN	HELLIN	02400	MELCHOR  DE MACANAZ, 66	N	-1,696972	38,511222	DLP	P	dm	L: 06:00-23:00
138	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA TORREUCHEA KM. 1	D	-1,636389	38,495972	HELLIN GAS S.L.	P	dm	L-D: 24H
139	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA N-301 KM. 316	I	-1,703056	38,524444	REPSOL	P	OM	L-D: 06:00-23:00
140	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA MURCIA KM. 33	I	-1,687833	38,506806	PETRONOR	P	OM	L: 06:00-23:00
141	ALBACETE	HELLÍN	HELLIN	02400	PARAJE DE LA FUENTE, S/N	N	-1,708944	38,526528	E.S. MADRIGUERAS 	P	dm	S-D: 9:00-13:00
142	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA POZOHONDO KM. 0,900	I	-1,706972	38,528306	CARBURANTES GARCIA LOZANO	P	dm	L-D: 06:00-22:00
143	ALBACETE	HELLÍN	HELLIN	02400	POLIGONO SAN RAFAEL 3ª FASE, SN	N	-1,705389	38,545111	IDS	P	OM	L-D: 24H
144	ALBACETE	HELLÍN	HELLIN	02400	CARRETERA CM 412 KM. 273	D	-1,694889	38,532389	PETROGAS	P	dm	L-D: 06:30-22:00
145	ALBACETE	HELLÍN	HELLIN	02400	AUTOVIA A-30 KM. 322,5	D	-1,596722	38,464250	GALP	P	dm	L-D: 06:00-23:00
146	ALBACETE	HELLÍN	ISSO	02420	CARRETERA DE HELLIN KM. 104	D	-1,741111	38,491861	REPSOL	P	OM	L: 06:00-14:30 y 14:31-23:00
147	ALBACETE	HOYA-GONZALO	HOYA-GONZALO	02696	AUTOVIA A-31 KM. 103,150	D	-1,583389	38,921833	REPSOL	P	dm	L-D: 07:00-23:00
148	ALBACETE	LETUR	LETUR	02434	CARRETERA A 45 KM. 39,8	D	-2,111056	38,356556	E.S. SIERRA DEL SEGURA	P	dm	L-D: 07:30-22:00
149	ALBACETE	LEZUZA	LEZUZA	02160	PASEO LIBERTAD, 62	D	-2,354861	38,948472	E.S. VIRGEN DE LA CRUZ	P	dm	L-D: 7:00-20:30
150	ALBACETE	MADRIGUERAS	MADRIGUERAS	02230	CARRETERA C-3222 KM. 9	D	-1,800611	39,226611	E.S. MADRIGUERAS	P	dm	L-D: 07:00-14:59 y 15:00-22:00
151	ALBACETE	MADRIGUERAS	MADRIGUERAS	02230	AVENIDA LEVANTE, 15	I	-1,799472	39,233056	REPSOL	P	OM	L-D: 06:00-22:00
152	ALBACETE	MINAYA	MINAYA	02620	CARRERA N-301, 195,2	D	-2,330333	39,276056	REPSOL	P	dm	L: 06:00-00:00
